Meas,Label,Data
25,TSW,132.133
25,BSW,132.818
25,TT,12.143
25,ST(A),10.147
25,ST(B),10.119
25,ST(C),10.131
25,ST(D),10.14
25,ST(E),10.126
25,ST(F),10.148
25,POCKET-1 X Top,25.294
25,POCKET-2 X Top,25.278
25,POCKET-3 X Top,25.296
25,POCKET-1 Y Top,40.291
25,POCKET-2 Y Top,40.291
25,POCKET-3 Y Top,40.265
25,POCKET-1 X Bottom,25.251
25,POCKET-2 X Bottom,25.257
25,POCKET-3 X Bottom,25.266
25,POCKET-1 Y Bottom,40.249
25,POCKET-2 Y Bottom,40.228
25,POCKET-3 Y Bottom,40.251
26,EL,322.602
26,OL,315.134
26,TOW,135.919
26,BOW,135.874
26,TSL,311.261
26,BSL,311.812
26,TSW,132.16
26,BSW,132.812
26,TT,12.15
26,ST(A),10.137
26,ST(B),10.104
26,ST(C),10.142
26,ST(D),10.149
26,ST(E),10.123
26,ST(F),10.144
26,POCKET-1 X Top,25.288
26,POCKET-2 X Top,25.281
26,POCKET-3 X Top,25.294
26,POCKET-1 Y Top,40.282
26,POCKET-2 Y Top,40.293
26,POCKET-3 Y Top,40.259
26,POCKET-1 X Bottom,25.258
26,POCKET-2 X Bottom,25.267
26,POCKET-3 X Bottom,25.261
26,POCKET-1 Y Bottom,40.239
26,POCKET-2 Y Bottom,40.242
26,POCKET-3 Y Bottom,40.262
27,EL,322.62
27,OL,315.147
27,TOW,135.928
27,BOW,135.881
27,TSL,311.282
27,BSL,311.791
27,TSW,132.15
27,BSW,132.817
27,TT,12.154
27,ST(A),10.142
27,ST(B),10.108
27,ST(C),10.128
27,ST(D),10.141
27,ST(E),10.12
27,ST(F),10.144
27,POCKET-1 X Top,25.302
27,POCKET-2 X Top,25.289
27,POCKET-3 X Top,25.293
27,POCKET-1 Y Top,40.285
27,POCKET-2 Y Top,40.285
27,POCKET-3 Y Top,40.259
27,POCKET-1 X Bottom,25.253
27,POCKET-2 X Bottom,25.251
27,POCKET-3 X Bottom,25.265
27,POCKET-1 Y Bottom,40.239
27,POCKET-2 Y Bottom,40.231
27,POCKET-3 Y Bottom,40.252
28,EL,322.589
28,OL,315.157
28,TOW,135.934
28,BOW,135.882
28,TSL,311.276
28,BSL,311.792
28,TSW,132.136
28,BSW,132.808
28,TT,12.142
28,ST(A),10.134
28,ST(B),10.101
28,ST(C),10.14
28,ST(D),10.143
28,ST(E),10.128
28,ST(F),10.13
28,POCKET-1 X Top,25.3
28,POCKET-2 X Top,25.291
28,POCKET-3 X Top,25.302
28,POCKET-1 Y Top,40.296
